55,0.014134,0.012139,0.0089342,0.021042,0.014102,0.017394,0.025764,0.019046,0.014042,0.032068,0.012621,0.031204,0.013984,0.017321,0.027262,0.027855,0.017085,0.016868,0.016321,0.013909,0.019248,0.016712,0.017065,0.020937,0.020112,0.015131,0.024207,0.018738,0.012354,0.01595,0.42347,0.3804,0.25531,0.2455,0.36296,0.30233,0.34037,0.32908,0.26757,0.21565,0.35221,0.19132,0.32691,0.36035,0.30035,0.29931,0.22356,0.18777,0.30002,0.38504,0.24448,0.16519,0.31201,0.27518,0.29748,0.34636,0.38229,0.16296,0.32336,0.30473,0.3559,0.18105,0.37969,0.22459,0.35999
60,0.015565,0.01363,0.01277,0.021656,0.014532,0.018692,0.026941,0.019422,0.014904,0.032623,0.015112,0.030557,0.013716,0.016912,0.030698,0.025251,0.018381,0.018416,0.016733,0.014948,0.020471,0.018516,0.018536,0.024057,0.021352,0.018221,0.025403,0.017994,0.014143,0.016093,0.38702,0.37532,0.29669,0.22681,0.34778,0.28577,0.34009,0.3679,0.31669,0.19736,0.34105,0.18479,0.31274,0.27297,0.31574,0.27299,0.23008,0.17467,0.3057,0.3106,0.24635,0.18546,0.2891,0.27577,0.3076,0.40449,0.32139,0.14509,0.3385,0.31749,0.39871,0.15838,0.32929,0.20396,0.38156
65,0.012665,0.011068,0.012117,0.019328,0.013962,0.016197,0.023738,0.018562,0.01332,0.032529,0.014955,0.030794,0.014211,0.018929,0.032354,0.026884,0.017518,0.019297,0.013903,0.014514,0.019744,0.015976,0.018833,0.021467,0.024036,0.019417,0.026492,0.017476,0.012427,0.014987,0.40193,0.32776,0.29113,0.23661,0.37577,0.30414,0.31888,0.3661,0.29464,0.21267,0.35133,0.15917,0.30647,0.25695,0.2899,0.29086,0.20607,0.17468,0.2616,0.29773,0.24253,0.13757,0.29427,0.29074,0.28992,0.33899,0.35014,0.18665,0.36214,0.30661,0.34675,0.14693,0.35852,0.24697,0.37758
70,0.014038,0.011479,0.01104,0.020099,0.015026,0.015169,0.020878,0.018959,0.012871,0.034402,0.012145,0.030617,0.010537,0.016181,0.028811,0.025591,0.017312,0.017133,0.015548,0.011824,0.016336,0.014502,0.01646,0.023293,0.020602,0.016801,0.020733,0.018165,0.011854,0.01385,0.3433,0.30316,0.26178,0.20562,0.32072,0.27451,0.28417,0.31814,0.26043,0.18679,0.30992,0.16231,0.28553,0.28521,0.26002,0.26778,0.21693,0.15758,0.28894,0.3031,0.2058,0.15023,0.26099,0.2606,0.27992,0.345,0.3747,0.14704,0.31805,0.30099,0.34768,0.12564,0.34793,0.2009,0.34194
75,0.011516,0.010164,0.0086182,0.015677,0.012567,0.01235,0.019814,0.016818,0.010958,0.03142,0.0099988,0.030718,0.010525,0.011622,0.027524,0.023776,0.016246,0.015421,0.01236,0.01028,0.012259,0.0144,0.014807,0.024618,0.021424,0.017473,0.01511,0.013929,0.0091677,0.01123,0.32452,0.28527,0.25446,0.19272,0.39123,0.24023,0.26751,0.28579,0.26139,0.1747,0.3775,0.13006,0.25653,0.2297,0.25676,0.24535,0.17428,0.14191,0.22589,0.29132,0.21227,0.15082,0.25212,0.2156,0.25501,0.28525,0.34044,0.14993,0.31423,0.2824,0.28076,0.12521,0.34074,0.20558,0.30786
80,0.012345,0.011378,0.0094096,0.014994,0.01287,0.012232,0.019059,0.016181,0.0090539,0.030692,0.0076918,0.029871,0.0099074,0.013126,0.029029,0.024754,0.01174,0.018563,0.011972,0.01082,0.0087728,0.014669,0.014498,0.024424,0.021854,0.016391,0.015061,0.014754,0.0094466,0.010205,0.28994,0.26499,0.20678,0.18238,0.29124,0.22386,0.24738,0.25793,0.21922,0.16402,0.29058,0.13415,0.22768,0.24538,0.24645,0.24672,0.18423,0.12379,0.22911,0.25831,0.20761,0.11726,0.24651,0.22197,0.27554,0.30214,0.33116,0.14165,0.28401,0.28409,0.32336,0.10894,0.32179,0.20239,0.31575
85,0.013703,0.012959,0.012454,0.019349,0.015086,0.016717,0.020895,0.02472,0.012505,0.031241,0.011002,0.030492,0.012944,0.014086,0.029152,0.022142,0.019173,0.016142,0.015914,0.013278,0.016393,0.014989,0.017183,0.024303,0.022629,0.016721,0.020642,0.015902,0.012735,0.013177,0.32443,0.24483,0.19862,0.18609,0.2992,0.24666,0.21926,0.27938,0.19113,0.16296,0.30026,0.12587,0.25169,0.2107,0.19647,0.20533,0.15335,0.10873,0.22213,0.26578,0.15992,0.11261,0.21159,0.18568,0.19374,0.25381,0.27096,0.1204,0.29822,0.23148,0.28393,0.11417,0.28445,0.18092,0.32304
90,0.016705,0.013613,0.014529,0.020796,0.016142,0.018297,0.027592,0.023906,0.015506,0.030985,0.017353,0.036226,0.016121,0.02006,0.036381,0.025071,0.024539,0.023103,0.01983,0.017153,0.023381,0.017274,0.020591,0.027481,0.021521,0.018544,0.026345,0.02433,0.017285,0.019366,0.28694,0.25156,0.17321,0.1647,0.26814,0.21188,0.23946,0.23353,0.19165,0.15149,0.26306,0.12539,0.21794,0.19217,0.20923,0.19564,0.15877,0.11558,0.20235,0.2019,0.16219,0.10535,0.20772,0.21126,0.23839,0.25396,0.2816,0.11387,0.26215,0.27428,0.2895,0.12357,0.26896,0.17041,0.26769
95,0.017398,0.015324,0.018979,0.026257,0.022469,0.021895,0.033828,0.02432,0.017783,0.043594,0.021832,0.035825,0.020482,0.022762,0.039869,0.027113,0.022338,0.027083,0.021228,0.019553,0.0317,0.016393,0.022892,0.027995,0.024626,0.018449,0.038747,0.025448,0.020982,0.024537,0.23708,0.20489,0.18008,0.16095,0.24012,0.17563,0.17548,0.21276,0.18686,0.14998,0.2455,0.11298,0.19765,0.1822,0.19844,0.15777,0.12492,0.11906,0.19541,0.19133,0.14788,0.097598,0.15516,0.17898,0.254,0.2962,0.2781,0.12946,0.2667,0.2508,0.29337,0.11067,0.27803,0.1813,0.30098
100,0.021436,0.014251,0.02144,0.026677,0.024467,0.028347,0.039016,0.025258,0.018288,0.04229,0.029001,0.037106,0.024562,0.023055,0.038757,0.027356,0.024483,0.027809,0.025155,0.021263,0.034724,0.019181,0.024463,0.025036,0.029196,0.018629,0.04066,0.027748,0.019964,0.026467,0.22326,0.23743,0.16661,0.14706,0.17921,0.16584,0.21718,0.20885,0.18196,0.13716,0.17602,0.10732,0.20323,0.18709,0.16803,0.16038,0.13297,0.0996,0.16866,0.22937,0.12032,0.10295,0.16938,0.15494,0.21698,0.29037,0.2445,0.10645,0.23414,0.22161,0.26603,0.090683,0.22197,0.16052,0.24932
